program_id,category_id,total_seats
1,1,61
1,2,15
1,3,3
1,4,1
1,5,15
1,6,4
1,7,1
1,8,41
1,9,10
1,10,2
1,11,23
1,12,6
1,13,1
1,14,11
1,15,3
1,16,1
2,1,35
2,2,8
2,3,1
2,4,0
2,5,8
2,6,3
2,7,1
2,8,23
2,9,6
2,10,1
2,11,12
2,12,3
2,13,1
2,14,6
2,15,3
2,16,1
3,1,47
3,2,10
3,3,2
3,4,0
3,5,11
3,6,3
3,7,1
3,8,13
3,9,7
3,10,2
3,11,17
3,12,4
3,13,1
3,14,8
3,15,2
3,16,1
4,1,64
4,2,16
4,3,3
4,4,0
4,5,15
4,6,4
4,7,1
4,8,42
4,9,10
4,10,2
4,11,24
4,12,6
4,13,1
4,14,10
4,15,3
4,16,1
5,1,40
5,2,8
5,3,1
5,4,1
5,5,9
5,6,2
5,7,1
5,8,27
5,9,6
5,10,1
5,11,14
5,12,3
5,13,1
5,14,7
5,15,2
5,16,1
6,1,31
6,2,7
6,3,1
6,4,1
6,5,8
6,6,2
6,7,0
6,8,20
6,9,5
6,10,1
6,11,11
6,12,3
6,13,1
6,14,5
6,15,2
6,16,1
7,1,34
7,2,8
7,3,2
7,4,1
7,5,9
7,6,2
7,7,0
7,8,22
7,9,6
7,10,1
7,11,12
7,12,3
7,13,1
7,14,6
7,15,2
7,16,1
8,1,34
8,2,9
8,3,1
8,4,0
8,5,8
8,6,2
8,7,1
8,8,23
8,9,5
8,10,2
8,11,12
8,12,3
8,13,1
8,14,6
8,15,2
8,16,1
9,1,27
9,2,6
9,3,1
9,4,0
9,5,7
9,6,2
9,7,0
9,8,17
9,9,4
9,10,2
9,11,9
9,12,3
9,13,1
9,14,5
9,15,1
9,16,0
10,1,23
10,2,6
10,3,1
10,4,0
10,5,5
10,6,2
10,7,1
10,8,16
10,9,3
10,10,1
10,11,9
10,12,2
10,13,0
10,14,4
10,15,1
10,16,1
11,1,27
11,2,8
11,3,1
11,4,0
11,5,6
11,6,2
11,7,1
11,8,18
11,9,5
11,10,1
11,11,9
11,12,2
11,13,1
11,14,5
11,15,1
11,16,0
12,1,49
12,2,12
12,3,1
12,4,1
12,5,11
12,6,3
12,7,1
12,8,31
12,9,8
12,10,2
12,11,17
12,12,5
12,13,2
12,14,8
12,15,2
12,16,1
13,1,36
13,2,9
13,3,2
13,4,1
13,5,8
13,6,2
13,7,1
13,8,24
13,9,6
13,10,1
13,11,13
13,12,4
13,13,1
13,14,6
13,15,2
13,16,1
14,1,44
14,2,11
14,3,2
14,4,1
14,5,11
14,6,3
14,7,1
14,8,29
14,9,8
14,10,2
14,11,16
14,12,4
14,13,1
14,14,8
14,15,2
14,16,1
15,1,33
15,2,9
15,3,2
15,4,1
15,5,8
15,6,2
15,7,1
15,8,23
15,9,6
15,10,1
15,11,12
15,12,3
15,13,1
15,14,6
15,15,2
15,16,1
16,1,40
16,2,9
16,3,2
16,4,1
16,5,9
16,6,3
16,7,1
16,8,27
16,9,7
16,10,1
16,11,14
16,12,4
16,13,1
16,14,7
16,15,2
16,16,1
17,1,60
17,2,14
17,3,3
17,4,1
17,5,14
17,6,4
17,7,1
17,8,39
17,9,10
17,10,3
17,11,22
17,12,5
17,13,2
17,14,10
17,15,3
17,16,1
18,1,44
18,2,11
18,3,3
18,4,1
18,5,11
18,6,3
18,7,1
18,8,30
18,9,8
18,10,2
18,11,17
18,12,5
18,13,1
18,14,9
18,15,2
18,16,0
19,1,45
19,2,11
19,3,3
19,4,1
19,5,11
19,6,3
19,7,1
19,8,30
19,9,8
19,10,2
19,11,17
19,12,5
19,13,1
19,14,9
19,15,2
19,16,0
20,1,33
20,2,8
20,3,2
20,4,0
20,5,7
20,6,2
20,7,1
20,8,21
20,9,6
20,10,1
20,11,11
20,12,3
20,13,1
20,14,5
20,15,2
20,16,1
21,1,42
21,2,11
21,3,2
21,4,1
21,5,9
21,6,3
21,7,2
21,8,30
21,9,7
21,10,1
21,11,16
21,12,4
21,13,1
21,14,8
21,15,2
21,16,1
22,1,35
22,2,9
22,3,2
22,4,0
22,5,8
22,6,2
22,7,1
22,8,24
22,9,6
22,10,1
22,11,13
22,12,3
22,13,1
22,14,5
22,15,2
22,16,1
23,1,37
23,2,9
23,3,2
23,4,0
23,5,8
23,6,2
23,7,2
23,8,25
23,9,6
23,10,1
23,11,14
23,12,3
23,13,1
23,14,6
23,15,2
23,16,1
24,1,55
24,2,13
24,3,3
24,4,1
24,5,13
24,6,3
24,7,1
24,8,35
24,9,9
24,10,2
24,11,20
24,12,5
24,13,1
24,14,10
24,15,2
24,16,1
25,1,35
25,2,9
25,3,2
25,4,0
25,5,9
25,6,2
25,7,1
25,8,23
25,9,6
25,10,2
25,11,13
25,12,3
25,13,1
25,14,7
25,15,2
25,16,0
26,1,34
26,2,8
26,3,1
26,4,1
26,5,8
26,6,2
26,7,1
26,8,22
26,9,6
26,10,1
26,11,13
26,12,3
26,13,0
26,14,6
26,15,2
26,16,1
27,1,52
27,2,12
27,3,2
27,4,1
27,5,13
27,6,3
27,7,0
27,8,33
27,9,8
27,10,3
27,11,19
27,12,5
27,13,1
27,14,10
27,15,2
27,16,1
28,1,47
28,2,12
28,3,3
28,4,1
28,5,11
28,6,3
28,7,1
28,8,31
28,9,7
28,10,3
28,11,18
28,12,5
28,13,1
28,14,9
28,15,2
28,16,0
29,1,47
29,2,11
29,3,2
29,4,1
29,5,12
29,6,3
29,7,0
29,8,30
29,9,7
29,10,3
29,11,18
29,12,5
29,13,0
29,14,8
29,15,2
29,16,1
30,1,36
30,2,9
30,3,2
30,4,1
30,5,9
30,6,2
30,7,0
30,8,24
30,9,6
30,10,1
30,11,13
30,12,4
30,13,1
30,14,6
30,15,2
30,16,1
31,1,35
31,2,9
31,3,2
31,4,0
31,5,9
31,6,2
31,7,0
31,8,23
31,9,6
31,10,1
31,11,13
31,12,4
31,13,1
31,14,6
31,15,1
31,16,2
32,1,32
32,2,9
32,3,2
32,4,0
32,5,8
32,6,1
32,7,1
32,8,21
32,9,6
32,10,1
32,11,13
32,12,3
32,13,0
32,14,6
32,15,1
32,16,0
33,1,35
33,2,10
33,3,2
33,4,0
33,5,9
33,6,1
33,7,1
33,8,24
33,9,6
33,10,1
33,11,13
33,12,4
33,13,1
33,14,8
33,15,2
33,16,0
34,1,37
34,2,10
34,3,1
34,4,0
34,5,9
34,6,3
34,7,1
34,8,25
34,9,6
34,10,1
34,11,13
34,12,3
34,13,1
34,14,6
34,15,1
34,16,2
35,1,28
35,2,7
35,3,2
35,4,0
35,5,7
35,6,1
35,7,1
35,8,19
35,9,5
35,10,1
35,11,10
35,12,3
35,13,1
35,14,6
35,15,1
35,16,0
36,1,20
36,2,5
36,3,1
36,4,0
36,5,5
36,6,1
36,7,0
36,8,14
36,9,3
36,10,1
36,11,8
36,12,2
36,13,0
36,14,3
36,15,1
36,16,1
37,1,9
37,2,2
37,3,1
37,4,0
37,5,2
37,6,1
37,7,0
37,8,5
37,9,2
37,10,1
37,11,4
37,12,1
37,13,0
37,14,2
37,15,0
37,16,0
38,1,19
38,2,4
38,3,0
38,4,1
38,5,5
38,6,1
38,7,0
38,8,12
38,9,3
38,10,1
38,11,6
38,12,2
38,13,1
38,14,4
38,15,1
38,16,0
39,1,20
39,2,5
39,3,1
39,4,0
39,5,5
39,6,2
39,7,0
39,8,13
39,9,3
39,10,1
39,11,8
39,12,1
39,13,1
39,14,4
39,15,1
39,16,0
40,1,15
40,2,4
40,3,0
40,4,0
40,5,2
40,6,1
40,7,1
40,8,10
40,9,2
40,10,0
40,11,5
40,12,1
40,13,0
40,14,2
40,15,1
40,16,1
41,1,48
41,2,12
41,3,2
41,4,1
41,5,12
41,6,3
41,7,1
41,8,31
41,9,7
41,10,3
41,11,17
41,12,4
41,13,2
41,14,9
41,15,2
41,16,1
42,1,46
42,2,12
42,3,3
42,4,1
42,5,11
42,6,3
42,7,1
42,8,30
42,9,8
42,10,2
42,11,17
42,12,5
42,13,1
42,14,8
42,15,2
42,16,0
43,1,50
43,2,12
43,3,3
43,4,1
43,5,12
43,6,3
43,7,1
43,8,33
43,9,7
43,10,3
43,11,18
43,12,4
43,13,1
43,14,9
