student_id,program_id,preference_number
1,11,1
1,8,2
1,1,3
1,6,4
1,4,5
1,2,6
1,3,7
1,21,8
1,7,9
1,12,10
1,17,11
2,1,1
2,6,2
2,7,3
2,2,4
2,12,5
2,4,6
2,13,7
2,23,8
2,16,9
2,11,10
2,22,11
3,1,1
3,2,2
3,16,3
3,3,4
3,4,5
3,6,6
3,12,7
3,7,8
3,11,9
3,14,10
3,9,11
3,13,12
4,1,1
4,7,2
4,12,3
4,2,4
4,4,5
4,6,6
4,11,7
4,9,8
4,22,9
4,16,10
5,3,1
5,7,2
5,4,3
5,1,4
5,12,5
5,6,6
5,2,7
5,22,8
6,7,1
6,6,2
6,1,3
6,16,4
6,3,5
6,11,6
6,2,7
6,26,8
6,22,9
6,27,10
6,9,11
7,1,1
7,2,2
7,11,3
7,16,4
7,8,5
7,12,6
7,6,7
7,13,8
8,2,1
8,1,2
8,8,3
8,16,4
8,11,5
8,26,6
8,4,7
8,3,8
9,11,1
9,4,2
9,8,3
9,3,4
9,16,5
9,17,6
9,6,7
9,7,8
9,1,9
10,6,1
10,4,2
10,3,3
10,2,4
10,7,5
10,11,6
10,1,7
10,26,8
10,12,9
10,16,10
11,1,1
11,2,2
11,6,3
11,7,4
11,3,5
11,4,6
11,8,7
11,16,8
11,9,9
11,22,10
11,10,11
12,11,1
12,7,2
12,6,3
12,12,4
12,1,5
12,21,6
12,2,7
12,16,8
12,5,9
12,23,10
12,13,11
12,27,12
13,6,1
13,1,2
13,2,3
13,12,4
13,11,5
13,4,6
13,8,7
13,7,8
13,16,9
13,21,10
14,6,1
14,2,2
14,3,3
14,16,4
14,8,5
14,11,6
14,7,7
14,21,8
14,1,9
14,5,10
15,1,1
15,2,2
15,16,3
15,6,4
15,12,5
15,7,6
15,4,7
15,11,8
15,21,9
16,6,1
16,2,2
16,3,3
16,16,4
16,1,5
16,11,6
16,7,7
16,17,8
16,13,9
16,21,10
16,22,11
17,6,1
17,7,2
17,11,3
17,12,4
17,8,5
17,16,6
17,4,7
17,3,8
17,1,9
17,2,10
17,17,11
17,23,12
18,1,1
18,6,2
18,2,3
18,3,4
18,7,5
18,4,6
18,16,7
18,8,8
18,26,9
19,6,1
19,2,2
19,3,3
19,8,4
19,1,5
19,16,6
19,7,7
19,11,8
20,6,1
20,1,2
20,3,3
20,12,4
20,11,5
20,2,6
20,4,7
20,16,8
20,21,9
21,11,1
21,6,2
21,16,3
21,4,4
21,1,5
21,2,6
21,7,7
21,21,8
21,8,9
21,17,10
21,10,11
22,1,1
22,6,2
22,2,3
22,16,4
22,7,5
22,17,6
22,18,7
22,8,8
22,13,9
23,6,1
23,1,2
23,2,3
23,3,4
23,8,5
23,11,6
23,7,7
23,22,8
24,11,1
24,6,2
24,2,3
24,16,4
24,1,5
24,12,6
24,8,7
24,9,8
25,3,1
25,11,2
25,1,3
25,8,4
25,7,5
25,16,6
25,21,7
25,12,8
25,5,9
26,7,1
26,1,2
26,16,3
26,4,4
26,2,5
26,6,6
26,12,7
26,8,8
26,11,9
26,17,10
26,13,11
27,1,1
27,2,2
27,7,3
27,16,4
27,3,5
27,8,6
27,11,7
27,6,8
27,12,9
27,5,10
28,7,1
28,1,2
28,16,3
28,4,4
28,6,5
28,11,6
28,21,7
28,2,8
28,17,9
28,26,10
28,12,11
28,23,12
29,16,1
29,11,2
29,1,3
29,7,4
29,8,5
29,4,6
29,2,7
29,3,8
29,6,9
29,10,10
29,26,11
30,1,1
30,16,2
30,7,3
30,4,4
30,12,5
30,3,6
30,2,7
30,8,8
30,11,9
30,6,10
31,11,1
31,16,2
31,8,3
31,6,4
31,1,5
31,12,6
31,4,7
31,26,8
32,1,1
32,8,2
32,2,3
32,21,4
32,16,5
32,11,6
32,13,7
32,7,8
32,3,9
32,6,10
33,1,1
33,11,2
33,2,3
33,12,4
33,3,5
33,16,6
33,6,7
33,4,8
33,9,9
33,13,10
34,2,1
34,6,2
34,12,3
34,4,4
34,3,5
34,8,6
34,21,7
34,17,8
34,1,9
34,7,10
35,2,1
35,12,2
35,3,3
35,6,4
35,11,5
35,16,6
35,8,7
35,4,8
35,1,9
35,26,10
35,31,11
36,6,1
36,1,2
36,11,3
36,3,4
36,16,5
36,7,6
36,12,7
36,4,8
37,11,1
37,8,2
37,6,3
37,4,4
37,1,5
37,13,6
37,2,7
37,7,8
37,14,9
37,3,10
38,2,1
38,6,2
38,16,3
38,12,4
38,3,5
38,8,6
38,26,7
38,17,8
38,18,9
38,1,10
38,5,11
39,6,1
39,12,2
39,1,3
39,3,4
39,7,5
39,16,6
39,4,7
39,8,8
39,2,9
39,18,10
39,17,11
39,27,12
40,1,1
40,7,2
40,6,3
40,2,4
40,3,5
40,8,6
40,12,7
40,16,8
41,4,1
41,12,2
41,8,3
41,7,4
41,6,5
41,1,6
41,11,7
41,26,8
42,1,1
42,8,2
42,6,3
42,11,4
42,7,5
42,4,6
42,16,7
42,12,8
43,6,1
43,2,2
43,1,3
43,7,4
43,4,5
43,16,6
43,8,7
43,26,8
43,11,9
43,12,10
43,21,11
44,1,1
44,16,2
44,2,3
44,4,4
44,12,5
44,6,6
44,3,7
44,11,8
44,18,9
44,9,10
45,1,1
45,16,2
45,7,3
45,2,4
45,3,5
45,11,6
45,6,7
45,21,8
45,9,9
46,6,1
46,16,2
46,4,3
46,1,4
46,11,5
46,12,6
46,7,7
46,2,8
46,9,9
46,13,10
46,31,11
47,12,1
47,8,2
47,1,3
47,2,4
47,6,5
47,16,6
47,11,7
47,7,8
47,10,9
47,26,10
47,3,11
48,6,1
48,2,2
48,11,3
48,3,4
48,12,5
48,1,6
48,8,7
48,7,8
48,16,9
48,18,10
48,26,11
49,6,1
49,11,2
49,16,3
49,12,4
49,1,5
49,3,6
49,21,7
49,4,8
49,14,9
50,6,1
50,4,2
50,11,3
50,8,4
50,2,5
50,1,6
50,7,7
50,16,8
50,12,9
51,6,1
51,7,2
51,4,3
51,16,4
51,1,5
51,3,6
51,12,7
51,17,8
51,9,9
51,2,10
51,13,11
52,2,1
52,3,2
52,7,3
52,6,4
52,8,5
52,11,6
52,16,7
52,26,8
52,27,9
52,5,10
52,18,11
53,7,1
53,6,2
53,2,3
53,8,4
53,12,5
53,4,6
53,16,7
53,1,8
54,16,1
54,12,2
54,6,3
54,4,4
54,8,5
54,1,6
54,7,7
54,11,8
54,21,9
54,17,10
54,3,11
54,13,12
55,6,1
55,1,2
55,16,3
55,7,4
55,12,5
55,4,6
55,3,7
55,21,8
55,11,9
55,2,10
56,1,1
56,3,2
56,7,3
56,6,4
56,11,5
56,8,6
56,12,7
56,9,8
57,2,1
57,1,2
57,16,3
57,12,4
57,7,5
57,8,6
57,11,7
57,6,8
57,17,9
58,12,1
58,8,2
58,7,3
58,4,4
58,11,5
58,1,6
58,14,7
58,9,8
58,27,9
58,6,10
58,2,11
59,11,1
59,2,2
59,8,3
59,7,4
59,16,5
59,6,6
59,26,7
59,21,8
60,3,1
60,8,2
60,2,3
60,6,4
60,12,5
60,1,6
60,11,7
60,16,8
60,7,9
61,8,1
61,1,2
61,4,3
61,3,4
61,16,5
61,2,6
61,21,7
61,7,8
61,13,9
62,6,1
62,16,2
62,1,3
62,11,4
62,7,5
62,3,6
62,8,7
62,2,8
62,17,9
63,3,1
63,16,2
63,6,3
63,11,4
63,1,5
63,4,6
63,22,7
63,7,8
63,2,9
63,12,10
63,9,11
64,1,1
64,6,2
64,3,3
64,2,4
64,8,5
64,26,6
64,17,7
64,7,8
64,11,9
64,12,10
65,1,1
65,11,2
65,16,3
65,2,4
65,8,5
65,4,6
65,26,7
65,7,8
65,17,9
65,6,10
65,5,11
65,21,12
66,1,1
66,3,2
66,6,3
66,16,4
66,21,5
66,11,6
66,22,7
66,12,8
67,1,1
67,12,2
67,11,3
67,16,4
67,7,5
67,6,6
67,5,7
67,26,8
67,17,9
68,1,1
68,8,2
68,6,3
68,11,4
68,4,5
68,7,6
68,2,7
68,17,8
68,16,9
68,12,10
69,1,1
69,11,2
69,7,3
69,16,4
69,3,5
69,6,6
69,4,7
69,2,8
70,1,1
70,3,2
70,12,3
70,7,4
70,16,5
70,6,6
70,4,7
70,11,8
70,17,9
70,22,10
70,31,11
71,2,1
71,1,2
71,11,3
71,16,4
71,12,5
71,4,6
71,3,7
71,8,8
72,16,1
72,3,2
72,6,3
72,8,4
72,1,5
72,26,6
72,2,7
72,11,8
73,2,1
73,4,2
73,1,3
73,6,4
73,16,5
73,8,6
73,26,7
73,22,8
73,3,9
74,2,1
74,6,2
74,7,3
74,8,4
74,3,5
74,16,6
74,1,7
74,12,8
74,11,9
75,2,1
75,6,2
75,16,3
75,4,4
75,11,5
75,7,6
75,1,7
75,12,8
75,26,9
75,13,10
75,31,11
76,2,1
76,16,2
76,12,3
76,6,4
76,17,5
76,4,6
76,8,7
76,1,8
77,1,1
77,16,2
77,12,3
77,11,4
77,7,5
77,21,6
77,31,7
77,6,8
77,27,9
77,10,10
77,8,11
78,2,1
78,16,2
78,6,3
78,3,4
78,12,5
78,11,6
78,4,7
78,7,8
78,5,9
78,1,10
79,6,1
79,2,2
79,1,3
79,12,4
79,3,5
79,16,6
79,11,7
79,4,8
79,21,9
80,2,1
80,3,2
80,11,3
80,1,4
80,6,5
80,9,6
80,16,7
80,7,8
80,22,9
81,1,1
81,2,2
81,7,3
81,8,4
81,11,5
81,6,6
81,16,7
81,12,8
81,3,9
82,1,1
82,6,2
82,16,3
82,2,4
82,8,5
82,11,6
82,13,7
82,14,8
82,7,9
82,21,10
82,12,11
83,2,1
83,16,2
83,6,3
83,3,4
83,12,5
83,4,6
83,11,7
83,7,8
83,13,9
83,21,10
83,9,11
83,31,12
84,6,1
84,2,2
84,1,3
84,16,4
84,3,5
84,22,6
84,13,7
84,7,8
84,11,9
85,3,1
85,11,2
85,2,3
85,4,4
85,6,5
85,1,6
85,16,7
85,7,8
86,6,1
86,1,2
86,2,3
86,16,4
86,3,5
86,12,6
86,17,7
86,4,8
87,1,1
87,6,2
87,11,3
87,7,4
